Dti_bin,Count,Bad_rate
"(-0.001, 20.0]",153966,0.010963459465076705
"(20.0, 30.0]",438114,0.018826150271390552
"(30.0, 36.0]",376778,0.030370669200431022
"(36.0, 43.0]",541007,0.044491106399732354
"(43.0, 50.0]",449237,0.05654031168403315
"(50.0, 65.0]",40898,0.026553865714704875
