col,nulls,miss_rate
orig_date,11023652,1.0
first_90dpd,10650316,0.9661331834495501
msa,1023883,0.09288056263024268
first_payment_date,0,0.0
fico,0,0.0
orig_rate,0,0.0
ltv,0,0.0
cltv,0,0.0
orig_upb,0,0.0
loan_id,0,0.0
channel,0,0.0
dti,0,0.0
product,0,0.0
purpose,0,0.0
property_type,0,0.0
state,0,0.0
loan_term,0,0.0
occupancy,0,0.0
num_units,0,0.0
seller_name,0,0.0
