purpose,n,approve_rate,approved,approved_bad_rate,overall_bad_rate
P,2260501.0,0.7899890334045417,1785771.0,0.007612398230232208,0.012794951207718997
C,1508996.0,0.8746822390516609,1319892.0,0.009743221415085476,0.01458850785555429
N,1981914.0,0.9373661016572868,1857779.0,0.005558249931773371,0.0068817314979358335
