channel,n,bad_rate,auc,pr_auc,ks
B,808344.0,0.01305261126451115,0.7291556661577125,0.030468414254467727,0.3233352375095673
C,1656853.0,0.011447002238581213,0.7376655808083417,0.02726718540685028,0.3411843782669559
R,3286214.0,0.0106685078938864,0.7432982437906731,0.02633344684224227,0.34615792937858847
