channel,n,approve_rate,approved,approved_bad_rate,overall_bad_rate
C,1656853.0,0.8606436418921896,1425960.0,0.007576650116412803,0.011447002238581213
R,3286214.0,0.8630801280744346,2836266.0,0.006930591136374374,0.0106685078938864
B,808344.0,0.8674722642835229,701216.0,0.00901148861406471,0.01305261126451115
