channel,purpose,n,bad_rate
R,P,2463184,0.01968793236721252
R,N,2215538,0.01079782878921508
C,P,1749062,0.026062540950520907
R,C,1649022,0.02011616582434922
C,N,957166,0.014283833734169412
C,C,607502,0.02400979749860906
B,P,589057,0.026883646234574923
B,N,505808,0.012105383861069813
B,C,287307,0.02086966206879749
9,C,3,0.0
9,N,2,0.0
9,P,1,0.0
