purpose,n,bad_rate,auc,pr_auc,ks
C,1508996.0,0.01458850785555429,0.7369071642597081,0.03761585392216524,0.32490423902630294
N,1981914.0,0.0068817314979358335,0.7327583540036239,0.016959104398993986,0.37377051668170375
P,2260501.0,0.012794951207718997,0.7222864030001043,0.026870597022702194,0.3329101850869999
